application_id,customer_id,region,loan_amount,loan_term_months,scoring_score,scoring_risk_level,document_type,document_status,decision_status,submitted_at
loan_0000000,cust_063637,DE-SN,29451,60,313,low,income_statement,pending,approved,2025-05-12T09:23:10Z
loan_0000000,cust_063637,DE-SN,29451,60,313,low,employment_contract,verified,approved,2025-05-12T09:23:10Z
loan_0040000,cust_053112,DE-BE,95548,6,338,low,income_statement,rejected,rejected,2025-05-13T22:51:15Z
loan_0040000,cust_053112,DE-BE,95548,6,338,low,passport,verified,rejected,2025-05-13T22:51:15Z
loan_0040001,cust_028613,DE-HH,11282,6,704,medium,employment_contract,pending,manual_review,2025-05-31T02:59:25Z
loan_0040001,cust_028613,DE-HH,11282,6,704,medium,utility_bill,verified,manual_review,2025-05-31T02:59:25Z
loan_0000001,cust_059938,DE-BE,68639,6,352,high,income_statement,rejected,approved,2025-05-29T08:45:29Z
loan_0000001,cust_059938,DE-BE,68639,6,352,high,income_statement,rejected,approved,2025-05-29T08:45:29Z
loan_0040002,cust_049443,DE-RP,18730,48,566,high,income_statement,verified,manual_review,2025-05-15T22:26:41Z
loan_0040002,cust_049443,DE-RP,18730,48,566,high,employment_contract,verified,manual_review,2025-05-15T22:26:41Z
loan_0000002,cust_013484,DE-NW,94458,12,723,medium,utility_bill,verified,approved,2025-05-22T12:44:40Z
loan_0000002,cust_013484,DE-NW,94458,12,723,medium,passport,pending,approved,2025-05-22T12:44:40Z
loan_0000003,cust_007684,DE-NW,74335,30,599,high,employment_contract,pending,rejected,2025-05-06T08:02:23Z
loan_0000003,cust_007684,DE-NW,74335,30,599,high,passport,rejected,rejected,2025-05-06T08:02:23Z
loan_0040003,cust_045537,DE-HH,45507,36,818,medium,income_statement,verified,approved,2025-05-19T15:17:56Z
loan_0040003,cust_045537,DE-HH,45507,36,818,medium,utility_bill,pending,approved,2025-05-19T15:17:56Z
loan_0040004,cust_087923,DE-HE,5527,24,797,medium,utility_bill,rejected,approved,2025-05-13T11:15:24Z
loan_0040004,cust_087923,DE-HE,5527,24,797,medium,passport,verified,approved,2025-05-13T11:15:24Z
loan_0000004,cust_085392,DE-RP,15915,6,485,high,employment_contract,rejected,approved,2025-05-01T14:48:27Z
loan_0000004,cust_085392,DE-RP,15915,6,485,high,utility_bill,verified,approved,2025-05-01T14:48:27Z
loan_0040005,cust_036446,DE-BY,50830,6,627,high,income_statement,rejected,rejected,2025-05-28T09:20:10Z
loan_0040005,cust_036446,DE-BY,50830,6,627,high,income_statement,rejected,rejected,2025-05-28T09:20:10Z
loan_0040006,cust_045019,DE-BW,43077,18,409,low,employment_contract,pending,approved,2025-05-20T23:43:26Z
loan_0040006,cust_045019,DE-BW,43077,18,409,low,utility_bill,rejected,approved,2025-05-20T23:43:26Z
loan_0000005,cust_071677,DE-BE,24697,30,318,medium,utility_bill,pending,manual_review,2025-05-15T04:37:46Z
loan_0000005,cust_071677,DE-BE,24697,30,318,medium,employment_contract,pending,manual_review,2025-05-15T04:37:46Z
loan_0040007,cust_041997,DE-BW,92064,60,720,high,passport,rejected,manual_review,2025-05-01T13:26:22Z
loan_0040007,cust_041997,DE-BW,92064,60,720,high,employment_contract,verified,manual_review,2025-05-01T13:26:22Z
loan_0000006,cust_024739,DE-NW,85364,30,446,low,income_statement,rejected,manual_review,2025-05-08T02:47:34Z
loan_0000006,cust_024739,DE-NW,85364,30,446,low,employment_contract,rejected,manual_review,2025-05-08T02:47:34Z
loan_0040008,cust_070515,DE-NW,13940,18,469,low,income_statement,verified,approved,2025-05-05T19:19:05Z
loan_0040008,cust_070515,DE-NW,13940,18,469,low,employment_contract,verified,approved,2025-05-05T19:19:05Z
loan_0000007,cust_013674,DE-NW,77059,60,818,high,utility_bill,verified,approved,2025-05-29T15:17:22Z
loan_0000007,cust_013674,DE-NW,77059,60,818,high,utility_bill,rejected,approved,2025-05-29T15:17:22Z
loan_0040009,cust_001508,DE-BW,65054,6,763,high,employment_contract,verified,rejected,2025-05-10T18:31:59Z
loan_0040009,cust_001508,DE-BW,65054,6,763,high,income_statement,pending,rejected,2025-05-10T18:31:59Z
loan_0000008,cust_038695,DE-HH,49056,6,455,low,passport,pending,approved,2025-05-11T05:41:15Z
loan_0000008,cust_038695,DE-HH,49056,6,455,low,passport,rejected,approved,2025-05-11T05:41:15Z
loan_0040010,cust_056038,DE-BE,12790,36,655,high,passport,rejected,approved,2025-05-14T14:41:42Z
loan_0040010,cust_056038,DE-BE,12790,36,655,high,utility_bill,verified,approved,2025-05-14T14:41:42Z
loan_0040011,cust_026098,DE-RP,38316,6,304,low,utility_bill,rejected,approved,2025-05-07T19:00:53Z
loan_0040011,cust_026098,DE-RP,38316,6,304,low,passport,rejected,approved,2025-05-07T19:00:53Z
loan_0000009,cust_060515,DE-HE,79649,42,344,high,utility_bill,pending,rejected,2025-05-14T09:19:03Z
loan_0000009,cust_060515,DE-HE,79649,42,344,high,income_statement,verified,rejected,2025-05-14T09:19:03Z
loan_0040012,cust_020667,DE-BW,74933,30,594,high,income_statement,verified,rejected,2025-05-25T21:23:13Z
loan_0040012,cust_020667,DE-BW,74933,30,594,high,income_statement,rejected,rejected,2025-05-25T21:23:13Z
loan_0040013,cust_015479,DE-RP,46591,48,639,low,income_statement,pending,approved,2025-05-07T12:38:43Z
loan_0040013,cust_015479,DE-RP,46591,48,639,low,utility_bill,rejected,approved,2025-05-07T12:38:43Z
loan_0000010,cust_055130,DE-SN,38951,6,628,medium,utility_bill,verified,approved,2025-05-10T20:25:40Z
loan_0000010,cust_055130,DE-SN,38951,6,628,medium,utility_bill,rejected,approved,2025-05-10T20:25:40Z
loan_0040014,cust_085226,DE-HH,99671,42,693,high,employment_contract,verified,rejected,2025-05-03T00:38:36Z
loan_0040014,cust_085226,DE-HH,99671,42,693,high,income_statement,rejected,rejected,2025-05-03T00:38:36Z
loan_0000011,cust_014523,DE-BE,98173,24,315,low,passport,rejected,manual_review,2025-05-09T19:51:17Z
loan_0000011,cust_014523,DE-BE,98173,24,315,low,utility_bill,verified,manual_review,2025-05-09T19:51:17Z
loan_0040015,cust_009126,DE-BE,66261,6,596,medium,income_statement,rejected,rejected,2025-05-15T07:32:39Z
loan_0040015,cust_009126,DE-BE,66261,6,596,medium,employment_contract,verified,rejected,2025-05-15T07:32:39Z
loan_0000012,cust_026163,DE-BY,84519,48,536,medium,employment_contract,pending,manual_review,2025-05-20T20:14:12Z
loan_0000012,cust_026163,DE-BY,84519,48,536,medium,passport,pending,manual_review,2025-05-20T20:14:12Z
loan_0040016,cust_077970,DE-NW,76850,6,369,high,employment_contract,verified,approved,2025-05-18T07:50:43Z
loan_0040016,cust_077970,DE-NW,76850,6,369,high,utility_bill,rejected,approved,2025-05-18T07:50:43Z
loan_0000013,cust_085301,DE-BY,95565,30,726,medium,passport,pending,manual_review,2025-05-04T04:11:10Z
loan_0000013,cust_085301,DE-BY,95565,30,726,medium,employment_contract,rejected,manual_review,2025-05-04T04:11:10Z
loan_0040017,cust_048277,DE-BY,58045,48,684,medium,employment_contract,verified,rejected,2025-05-08T07:16:15Z
loan_0040017,cust_048277,DE-BY,58045,48,684,medium,employment_contract,rejected,rejected,2025-05-08T07:16:15Z
loan_0040018,cust_013348,DE-BW,12726,36,411,high,passport,rejected,manual_review,2025-05-13T08:20:41Z
loan_0040018,cust_013348,DE-BW,12726,36,411,high,employment_contract,pending,manual_review,2025-05-13T08:20:41Z
loan_0040019,cust_045930,DE-BW,17040,30,498,medium,income_statement,verified,manual_review,2025-05-21T02:25:05Z
loan_0040019,cust_045930,DE-BW,17040,30,498,medium,employment_contract,verified,manual_review,2025-05-21T02:25:05Z
loan_0000014,cust_080902,DE-BW,73182,60,631,high,utility_bill,rejected,manual_review,2025-05-16T17:27:37Z
loan_0000014,cust_080902,DE-BW,73182,60,631,high,income_statement,pending,manual_review,2025-05-16T17:27:37Z
loan_0040020,cust_072942,DE-BE,92529,6,715,low,employment_contract,pending,approved,2025-05-09T22:13:15Z
loan_0040020,cust_072942,DE-BE,92529,6,715,low,passport,pending,approved,2025-05-09T22:13:15Z
loan_0040021,cust_042518,DE-HH,38609,24,307,high,passport,verified,rejected,2025-05-18T04:18:09Z
loan_0040021,cust_042518,DE-HH,38609,24,307,high,employment_contract,rejected,rejected,2025-05-18T04:18:09Z
loan_0000015,cust_096431,DE-HE,38638,42,302,medium,income_statement,pending,approved,2025-05-18T10:50:37Z
loan_0000015,cust_096431,DE-HE,38638,42,302,medium,employment_contract,pending,approved,2025-05-18T10:50:37Z
loan_0040022,cust_009518,DE-BW,78150,30,819,high,utility_bill,rejected,approved,2025-05-19T00:35:14Z
loan_0040022,cust_009518,DE-BW,78150,30,819,high,passport,pending,approved,2025-05-19T00:35:14Z
loan_0000016,cust_073121,DE-BW,51718,48,321,low,utility_bill,pending,manual_review,2025-05-02T20:53:51Z
loan_0000016,cust_073121,DE-BW,51718,48,321,low,income_statement,rejected,manual_review,2025-05-02T20:53:51Z
loan_0040023,cust_053074,DE-BY,30368,18,766,high,employment_contract,verified,approved,2025-05-30T06:59:45Z
loan_0040023,cust_053074,DE-BY,30368,18,766,high,employment_contract,verified,approved,2025-05-30T06:59:45Z
loan_0040024,cust_042451,DE-RP,86831,36,325,high,passport,rejected,manual_review,2025-05-29T14:47:22Z
loan_0040024,cust_042451,DE-RP,86831,36,325,high,employment_contract,verified,manual_review,2025-05-29T14:47:22Z
loan_0000017,cust_095069,DE-NW,17051,36,720,high,income_statement,pending,manual_review,2025-05-15T20:18:20Z
loan_0000017,cust_095069,DE-NW,17051,36,720,high,passport,pending,manual_review,2025-05-15T20:18:20Z
loan_0040025,cust_064101,DE-NW,21637,6,365,low,utility_bill,pending,manual_review,2025-05-24T05:19:37Z
loan_0040025,cust_064101,DE-NW,21637,6,365,low,passport,verified,manual_review,2025-05-24T05:19:37Z
loan_0040026,cust_093533,DE-BW,94890,60,825,low,passport,verified,manual_review,2025-05-30T03:10:31Z
loan_0040026,cust_093533,DE-BW,94890,60,825,low,passport,verified,manual_review,2025-05-30T03:10:31Z
loan_0000018,cust_005412,DE-BY,82679,6,621,low,utility_bill,verified,rejected,2025-05-24T09:50:08Z
loan_0000018,cust_005412,DE-BY,82679,6,621,low,utility_bill,pending,rejected,2025-05-24T09:50:08Z
loan_0040027,cust_062842,DE-NW,30450,48,539,low,employment_contract,rejected,manual_review,2025-05-26T14:59:52Z
loan_0040027,cust_062842,DE-NW,30450,48,539,low,employment_contract,rejected,manual_review,2025-05-26T14:59:52Z
loan_0000019,cust_059814,DE-NW,82150,12,534,medium,income_statement,pending,approved,2025-05-25T21:57:43Z
loan_0000019,cust_059814,DE-NW,82150,12,534,medium,passport,pending,approved,2025-05-25T21:57:43Z
loan_0040028,cust_004706,DE-BY,62079,18,518,high,passport,pending,approved,2025-05-04T19:10:00Z
loan_0040028,cust_004706,DE-BY,62079,18,518,high,passport,pending,approved,2025-05-04T19:10:00Z
loan_0000020,cust_005889,DE-HH,32044,60,321,high,passport,pending,rejected,2025-05-09T23:46:07Z
loan_0000020,cust_005889,DE-HH,32044,60,321,high,income_statement,verified,rejected,2025-05-09T23:46:07Z
loan_0000021,cust_047822,DE-NW,67805,24,501,low,utility_bill,verified,manual_review,2025-05-21T03:54:38Z
loan_0000021,cust_047822,DE-NW,67805,24,501,low,passport,pending,manual_review,2025-05-21T03:54:38Z
loan_0040029,cust_090854,DE-HE,24806,6,837,high,passport,rejected,approved,2025-05-06T20:47:40Z
loan_0040029,cust_090854,DE-HE,24806,6,837,high,employment_contract,rejected,approved,2025-05-06T20:47:40Z
